"Carimbo de data/hora","Geraldo Alckmin","João Amoêdo","Jair Bolsonaro","Guilherme Boulos","Ciro Gomes","Marina Silva","Fernando Haddad","Cabo Daciolo"
"2018/11/20 4:28:10 PM GMT-4","1","3","1","3","3","3","4","3"
"2018/11/20 4:28:39 PM GMT-4","1","3","1","1","3","3","2","1"
"2018/11/20 4:28:45 PM GMT-4","2","2","1","2","2","3","2","2"
"2018/11/20 4:33:05 PM GMT-4","2","1","1","5","5","4","5","5"
"2018/11/20 10:06:15 PM GMT-4","2","5","2","1","2","3","1","1"
"2018/11/20 10:06:16 PM GMT-4","1","4","5","1","1","1","1","5"
"2018/11/20 10:06:56 PM GMT-4","2","2","3","2","2","2","2","2"
"2018/11/20 10:07:21 PM GMT-4","2","5","4","1","2","2","1","3"
"2018/11/20 10:08:57 PM GMT-4","2","2","4","2","3","1","1","5"
"2018/11/20 10:09:28 PM GMT-4","3","4","3","1","2","2","2","1"
"2018/11/20 10:10:04 PM GMT-4","1","3","1","5","1","3","3","1"
"2018/11/20 10:11:19 PM GMT-4","1","5","4","1","2","1","1","1"
"2018/11/20 10:11:25 PM GMT-4","3","4","2","3","4","4","3","3"
"2018/11/20 10:12:18 PM GMT-4","1","3","3","1","1","3","2","1"
"2018/11/20 10:12:23 PM GMT-4","1","3","4","1","2","3","1","3"
"2018/11/20 10:18:11 PM GMT-4","1","1","1","2","5","5","5","2"
"2018/11/20 10:25:07 PM GMT-4","1","3","1","1","3","3","5","1"
"2018/11/20 10:28:11 PM GMT-4","3","3","1","3","5","5","4","1"
"2018/11/20 10:46:18 PM GMT-4","1","3","5","1","2","2","1","1"
"2018/11/20 10:48:50 PM GMT-4","1","5","5","1","1","1","1","1"
"2018/11/20 10:54:35 PM GMT-4","1","5","4","1","1","3","1","2"
"2018/11/20 11:21:15 PM GMT-4","2","5","1","1","2","3","1","3"
"2018/11/21 4:18:00 AM GMT-4","2","4","5","1","1","1","1","3"
